imb_vector,tier,pms_over,pms_under,pms_unused,pms_used,pms_over_degree,min_cut
"0.06, 0.17",1,1,0,0,2,12,1240
"0.06, 0.18",1,1,0,0,2,12,1240
"0.06, 0.19",1,1,0,0,2,12,1240
"0.06, 0.20",1,1,0,0,2,12,1240
"0.06, 0.21",1,1,0,0,2,12,1240
"0.06, 0.22",1,1,0,0,2,12,1240
"0.06, 0.23",1,1,0,0,2,12,1240
"0.06, 0.24",1,1,0,0,2,12,1240
"0.06, 0.25",1,1,0,0,2,12,1240
"0.06, 0.26",1,1,0,0,2,12,1240
"0.06, 0.27",1,1,0,0,2,12,1240
"0.06, 0.28",1,1,0,0,2,12,1240
"0.06, 0.29",1,1,0,0,2,11,1240
"0.06, 0.30",1,1,0,0,2,11,1240
"0.06, 0.31",1,1,0,0,2,11,1240
"0.06, 0.32",1,1,0,0,2,11,1240
"0.06, 0.33",1,1,0,0,2,11,1240
"0.06, 0.34",1,1,0,0,2,12,1240
"0.06, 0.35",1,1,0,0,2,8,1240
"0.06, 0.36",1,1,0,0,2,9,1240
"0.06, 0.37",1,1,0,0,2,11,1240
"0.06, 0.38",1,1,0,0,2,10,1240
"0.06, 0.39",1,1,0,0,2,8,1240
"0.06, 0.40",1,1,0,0,2,12,1240
"0.07, 0.00",1,2,0,0,2,6,1480
"0.07, 0.01",1,1,0,0,2,7,1390
"0.07, 0.02",1,2,0,0,2,6,1360
"0.07, 0.03",1,1,0,0,2,7,1290
"0.07, 0.04",1,1,0,0,2,9,1320
"0.07, 0.05",1,1,0,0,2,10,1300
"0.07, 0.06",1,1,0,0,2,11,1230
"0.07, 0.07",1,1,0,0,2,10,1320
"0.07, 0.08",1,1,0,0,2,10,1200
"0.07, 0.09",1,1,0,0,2,9,1270
"0.07, 0.10",1,1,0,0,2,10,1270
"0.07, 0.11",1,1,0,0,2,10,1270
"0.07, 0.12",1,1,0,0,2,10,1270
"0.07, 0.13",1,1,0,0,2,10,1270
"0.07, 0.14",1,1,0,0,2,10,1270
"0.07, 0.15",1,1,0,0,2,10,1270
"0.07, 0.16",1,1,0,0,2,10,1270
"0.07, 0.17",1,1,0,0,2,10,1270
"0.07, 0.18",1,1,0,0,2,10,1270
"0.07, 0.19",1,1,0,0,2,10,1270
"0.07, 0.20",1,1,0,0,2,10,1270
"0.07, 0.21",1,1,0,0,2,10,1270
"0.07, 0.22",1,1,0,0,2,10,1270
"0.07, 0.23",1,1,0,0,2,10,1270
"0.07, 0.24",1,1,0,0,2,10,1270
"0.07, 0.25",1,1,0,0,2,10,1270
"0.07, 0.26",1,1,0,0,2,10,1270
"0.07, 0.27",1,1,0,0,2,10,1270
"0.07, 0.28",1,1,0,0,2,10,1270
"0.07, 0.29",1,1,0,0,2,10,1270
"0.07, 0.30",1,1,0,0,2,10,1270
"0.07, 0.31",1,1,0,0,2,10,1270
"0.07, 0.32",1,1,0,0,2,10,1270
"0.07, 0.33",1,1,0,0,2,11,1270
"0.07, 0.34",1,1,0,0,2,9,1270
"0.07, 0.35",1,1,0,0,2,10,1320
"0.07, 0.36",1,1,0,0,2,10,1270
"0.07, 0.37",1,1,0,0,2,12,1320
"0.07, 0.38",1,1,0,0,2,11,1190
"0.07, 0.39",1,1,0,0,2,11,1270
"0.07, 0.40",1,1,0,0,2,12,1270
"0.08, 0.00",1,2,0,0,2,6,1480
"0.08, 0.01",1,2,0,0,2,6,1380
"0.08, 0.02",1,2,0,0,2,6,1330
"0.08, 0.03",1,1,0,0,2,7,1330
"0.08, 0.04",1,1,0,0,2,7,1240
"0.08, 0.05",1,1,0,0,2,7,1240
"0.08, 0.06",1,1,0,0,2,11,1260
