imb_vector,tier,pms_over,pms_under,pms_unused,pms_used,pms_over_degree,min_cut
"0.06, 0.06",0,0,1,3,3,0,790
"0.06, 0.07",0,0,1,3,3,0,750
"0.06, 0.08",0,0,1,3,3,0,750
"0.06, 0.09",0,0,1,3,3,0,750
"0.06, 0.10",0,0,1,3,3,0,750
"0.06, 0.11",0,0,1,3,3,0,690
"0.06, 0.12",0,0,1,3,3,0,690
"0.06, 0.13",0,0,1,3,3,0,750
"0.06, 0.14",0,0,1,3,3,0,750
"0.06, 0.15",0,0,1,3,3,0,690
"0.06, 0.16",0,0,1,3,3,0,690
"0.06, 0.17",0,0,0,3,3,0,700
"0.06, 0.18",0,0,1,3,3,0,750
"0.06, 0.19",0,0,1,3,3,0,750
"0.06, 0.20",0,0,1,3,3,0,750
"0.06, 0.21",0,0,1,3,3,0,750
"0.06, 0.22",0,0,1,3,3,0,750
"0.06, 0.23",0,0,1,3,3,0,750
"0.06, 0.24",0,0,1,3,3,0,690
"0.06, 0.25",0,0,1,3,3,0,690
"0.06, 0.26",0,0,1,3,3,0,750
"0.06, 0.27",0,0,1,3,3,0,750
"0.06, 0.28",0,0,1,3,3,0,750
"0.06, 0.29",0,0,1,3,3,0,750
"0.06, 0.30",0,0,1,3,3,0,690
"0.06, 0.31",0,0,1,3,3,0,690
"0.06, 0.32",0,0,1,3,3,0,690
"0.06, 0.33",0,0,1,3,3,0,690
"0.06, 0.34",0,0,1,3,3,0,690
"0.06, 0.35",0,0,0,3,3,0,700
"0.06, 0.36",0,0,1,3,3,0,750
"0.06, 0.37",0,0,1,3,3,0,680
"0.06, 0.38",0,0,1,3,3,0,750
"0.06, 0.39",0,0,1,3,3,0,750
"0.06, 0.40",0,0,0,3,3,0,680
"0.07, 0.00",0,0,0,3,3,0,1300
"0.07, 0.01",0,0,0,3,3,0,840
"0.07, 0.02",0,0,0,3,3,0,870
"0.07, 0.03",0,0,0,3,3,0,790
"0.07, 0.04",0,0,1,3,3,0,810
"0.07, 0.05",0,0,1,3,3,0,770
"0.07, 0.06",0,0,1,3,3,0,720
"0.07, 0.07",0,0,1,3,3,0,670
"0.07, 0.08",0,0,1,3,3,0,680
"0.07, 0.09",0,0,0,3,3,0,680
"0.07, 0.10",0,0,1,3,3,0,660
"0.07, 0.11",0,0,1,3,3,0,670
"0.07, 0.12",0,0,1,3,3,0,670
"0.07, 0.13",0,0,1,3,3,0,660
"0.07, 0.14",0,0,1,3,3,0,950
"0.07, 0.15",0,0,0,3,3,0,680
"0.07, 0.16",0,0,1,3,3,0,670
"0.07, 0.17",0,0,1,3,3,0,660
"0.07, 0.18",0,0,0,3,3,0,680
"0.07, 0.19",0,0,1,3,3,0,670
"0.07, 0.20",0,0,1,3,3,0,670
"0.07, 0.21",0,0,1,3,3,0,660
"0.07, 0.22",0,0,1,3,3,0,620
"0.07, 0.23",0,0,0,3,3,0,680
"0.07, 0.24",0,0,0,3,3,0,680
"0.07, 0.25",0,0,0,3,3,0,680
"0.07, 0.26",0,0,1,3,3,0,670
"0.07, 0.27",0,0,1,3,3,0,670
"0.07, 0.28",0,0,1,3,3,0,660
"0.07, 0.29",0,0,1,3,3,0,670
"0.07, 0.30",0,0,0,3,3,0,680
"0.07, 0.31",0,0,1,3,3,0,660
"0.07, 0.32",0,0,1,3,3,0,660
"0.07, 0.33",0,0,0,3,3,0,680
"0.07, 0.34",0,0,1,3,3,0,660
"0.07, 0.35",0,0,0,3,3,0,680
"0.07, 0.36",0,0,1,3,3,0,660
"0.07, 0.37",0,0,1,3,3,0,660
"0.07, 0.38",0,0,1,3,3,0,670
"0.07, 0.39",1,1,1,3,3,18,1160
"0.07, 0.40",0,0,1,3,3,0,660
"0.08, 0.00",0,0,0,3,3,0,1200
"0.08, 0.01",0,0,0,3,3,0,910
"0.08, 0.02",0,0,0,3,3,0,950
"0.08, 0.03",0,0,0,3,3,0,730
"0.08, 0.04",0,0,1,3,3,0,1790
"0.08, 0.05",0,0,1,3,3,0,650
"0.08, 0.06",0,0,1,3,3,0,700
"0.08, 0.07",0,0,1,3,3,0,640
"0.08, 0.08",0,0,1,3,3,0,650
"0.08, 0.09",0,0,1,3,3,0,600
