imb_vector,tier,pms_over,pms_under,pms_unused,pms_used,pms_over_degree,min_cut
"0.06, 0.08",1,1,0,1,2,5,2760
"0.06, 0.09",1,1,0,1,2,7,2780
"0.06, 0.10",1,1,0,1,2,7,2820
"0.06, 0.11",1,1,0,1,2,9,2820
"0.06, 0.12",1,1,0,1,2,8,2800
"0.06, 0.13",1,1,0,1,2,10,2920
"0.06, 0.14",1,1,0,1,2,9,2740
"0.06, 0.15",1,1,0,1,2,9,2740
"0.06, 0.16",1,1,0,1,2,11,2960
"0.06, 0.17",1,1,0,1,2,11,2960
"0.06, 0.18",1,1,0,1,2,11,2960
"0.06, 0.19",1,1,0,1,2,11,2960
"0.06, 0.20",1,1,0,1,2,11,2960
"0.06, 0.21",1,1,0,1,2,11,2960
"0.06, 0.22",1,1,0,1,2,11,2960
"0.06, 0.23",1,1,0,1,2,11,2960
"0.06, 0.24",1,1,0,1,2,11,2960
"0.06, 0.25",1,1,0,1,2,11,2960
"0.06, 0.26",1,1,0,1,2,11,2960
"0.06, 0.27",1,1,0,1,2,11,2960
"0.06, 0.28",1,1,0,1,2,11,2960
"0.06, 0.29",1,1,0,1,2,11,2960
"0.06, 0.30",1,1,0,1,2,11,2960
"0.06, 0.31",1,1,0,1,2,11,2960
"0.06, 0.32",1,1,0,1,2,11,2960
"0.06, 0.33",1,1,0,1,2,11,2960
"0.06, 0.34",1,1,0,1,2,11,2960
"0.06, 0.35",1,1,0,1,2,11,2960
"0.06, 0.36",1,1,0,1,2,11,2960
"0.06, 0.37",1,1,0,1,2,11,2960
"0.06, 0.38",1,1,0,1,2,11,2960
"0.06, 0.39",1,1,0,1,2,11,2960
"0.06, 0.40",1,1,0,1,2,11,2960
"0.07, 0.00",1,1,0,1,2,5,3220
"0.07, 0.01",1,1,0,1,2,5,3100
"0.07, 0.02",0,0,0,1,2,0,3180
"0.07, 0.03",1,1,0,1,2,7,2900
"0.07, 0.04",0,0,0,1,2,0,2840
"0.07, 0.05",0,0,0,1,2,0,2900
"0.07, 0.06",0,0,0,1,2,0,2780
"0.07, 0.07",1,1,0,1,2,5,2840
"0.07, 0.08",1,1,0,1,2,5,2920
"0.07, 0.09",1,1,0,1,2,7,2940
"0.07, 0.10",1,1,0,1,2,5,2880
"0.07, 0.11",1,1,0,1,2,9,2980
